X,Y,Z,cube error,X cube error,Y cube error,Z cube error,,X estimated,Y estimated,Z estimated,,u,v,pixel error,u pixel error,v pixel error,,u estimated,v estimated
30.1,0.0,0.0,1.9085270201432407,0.17453573325621363,1.9005295747326727,0.0, ,30.274535733256215,-1.9005295747326727,0.0, ,1484.74733617226,319.6593498953307,10.911456410701822,[-0.89144905],[-10.87498044], ,1485.6387852205803,330.53433033654966
60.2,0.0,0.0,3.4051846976288958,1.1909888571563698,3.1901141620787428,0.0, ,61.39098885715637,-3.1901141620787428,0.0, ,1366.0860243032182,391.51663311535435,15.45607122159886,[-4.32129958],[-14.83969365], ,1370.4073238838776,406.35632676250657
90.3,0.0,0.0,5.190710420601121,2.9648240716438607,4.260668127739848,0.0, ,93.26482407164386,-4.260668127739848,0.0, ,1262.9115438068643,455.27577118092904,18.265146774835376,[-8.96388744],[-15.91428002], ,1271.8754312479596,471.1900512039038
120.3,0.0,0.0,7.703387265152231,5.416174017873189,5.477885939395321,0.0, ,125.71617401787319,-5.477885939395321,0.0, ,1172.9007398880458,510.2964368793927,21.876778374068742,[-14.02148569],[-16.7925987], ,1186.9222255808957,527.0890355762391
150.4,0.0,0.0,10.448480604152275,8.253077931485706,6.407608882584043,0.0, ,158.6530779314857,-6.407608882584043,0.0, ,1093.9174242622944,559.9274881255866,24.594302229865995,[-18.54181421],[-16.15799579], ,1112.4592384746024,576.085483913748
180.5,0.0,0.0,14.883332847102265,12.256290025919327,8.443752213215618,0.0, ,192.75629002591933,-8.443752213215618,0.0, ,1022.8026089622314,600.18418565273,30.69695277483779,[-24.05975658],[-19.06386695], ,1046.8623655378615,619.2480526052149
30.1,30.1,0.0,3.056028812886203,0.19866667844699037,3.049564502689769,0.0, ,29.90133332155301,27.050435497310232,0.0, ,1488.8846193659306,493.4442821551404,19.085981890872063,[0.56025356],[-19.07775722], ,1488.3243658017866,512.5220393787388
60.2,30.1,0.0,4.642069109983613,2.1859614866227304,4.095165198238796,0.0, ,62.38596148662273,26.004834801761206,0.0, ,1363.7811971829244,555.9081126753285,20.44544274874968,[-7.92275238],[-18.847974], ,1371.7039495633517,574.7560866754919
90.3,30.1,0.0,6.519218622674826,4.338824188643301,4.865677353696405,0.0, ,94.6388241886433,25.234322646303596,0.0, ,1258.9582569249437,609.6345995340846,22.5161227288934,[-13.18613833],[-18.25106952], ,1272.14439525889,627.8856690528997
120.3,30.1,0.0,9.292118184966709,7.413813480639206,5.6016810010640015,0.0, ,127.7138134806392,24.498318998936,0.0, ,1167.1281134003057,656.9619533870965,25.497874675915842,[-19.29518423],[-16.66845759], ,1186.4232976314818,673.630410978418
150.4,30.1,0.0,11.541170443618553,9.793912700646985,6.105562154360577,0.0, ,160.193912700647,23.994437845639425,0.0, ,1089.235323610025,698.0873265037852,27.080293600237272,[-22.14171606],[-15.59123829], ,1111.3770396702998,713.6785647926839
180.5,30.1,0.0,14.756061581471311,13.19050826427383,6.614517754628629,0.0, ,193.69050826427383,23.485482245371372,0.0, ,1019.2010540915419,735.1084178137294,29.560377746918302,[-26.13467564],[-13.81284409], ,1045.3357297294676,748.9212619032322
30.1,60.2,0.0,3.0244805397508148,0.43573119417640527,2.992928475883275,0.0, ,30.535731194176407,57.20707152411673,0.0, ,1488.942276611274,680.6805692893784,18.03670297167388,[-2.12790113],[-17.91074233], ,1491.0701777410818,698.5913116210114
60.2,60.2,0.0,4.209775393021265,2.372774278394374,3.477377040741686,0.0, ,62.57277427839438,56.72262295925832,0.0, ,1364.374241996082,730.1783489219276,18.589861851981915,[-8.65309487],[-16.45317334], ,1373.027336862511,746.631522260477
90.3,60.2,0.0,5.9848436757230425,4.760208423707795,3.6275018381392243,0.0, ,95.06020842370779,56.57249816186078,0.0, ,1257.8362747826734,774.3147713657802,19.710824367617285,[-14.58222581],[-13.26179805], ,1272.418500595472,787.5765694186689
120.3,60.2,0.0,9.105128513313199,7.918942328453298,4.493742053409349,0.0, ,128.2189423284533,55.706257946590654,0.0, ,1165.1274093101536,809.2342538239886,24.812429328311843,[-20.78807704],[-13.54667864], ,1185.915486348591,822.7809324655029
150.4,60.2,0.0,11.870806925520782,10.975874166053217,4.521752243761014,0.0, ,161.37587416605322,55.67824775623899,0.0, ,1085.2556045547965,843.1348768819006,27.107626380904538,[-25.02120798],[-10.42892895], ,1110.2768125395273,853.563805829379
180.5,60.2,0.0,15.68943664226587,14.839763106899738,5.093118208207258,0.0, ,195.33976310689974,55.106881791792745,0.0, ,1014.1723518351887,870.9988229511775,31.13785849456472,[-29.61284766],[-9.62525246], ,1043.78519949848,880.6240754101125
30.1,90.3,0.0,1.8858690392947535,0.3985617439258462,1.8432717026117729,0.0, ,30.498561743925848,88.45672829738822,0.0, ,1491.9868844974587,877.5950588590359,11.443344398900157,[-1.8913858],[-11.28595547], ,1493.8782702934727,888.881014326008
60.2,90.3,0.0,3.950203692137396,3.182364651843173,2.340227431698679,0.0, ,63.382364651843176,87.95977256830132,0.0, ,1362.764125128998,911.6332748355957,15.628855546381024,[-11.61419781],[-10.45808467], ,1374.3783229375813,922.0913595050151
